Step,Multi-Reward-Mean,Multi-Reward-Combined,Single-Reward,Mean - Single,Combined - Single,Multi reward ctrl,Single reward ctrl,reward ctrl multi - single
1.0,0.6127878206156794,-0.29081116517913586,-0.4380074607910647,1.050795281406744,0.14719629561192882,-1.032684564590454,-1.5828437805175781,0.550159215927124
2.0,0.9388093255457568,-0.9847735812384337,-0.30700542010034715,1.245814745646104,-0.6777681611380866,-2.198380470275879,-1.60529625415802,-0.5930842161178589
3.0,1.0804903551617795,0.563543233904235,-1.7687250742831244,2.8492154294449037,2.332268308187359,-0.590796709060669,-3.066131353378296,2.475334644317627
4.0,0.7805655367914653,-0.1326333454567873,0.029012831703154163,0.7515527050883112,-0.16164617715994145,-1.0436558723449707,-1.1887680292129517,0.14511215686798096
5.0,0.7620161078229644,-1.3765414828376747,-0.7247046562766899,1.4867207640996543,-0.6518368265609848,-2.444065809249878,-1.6256320476531982,-0.8184337615966797
6.0,0.9631768593377632,0.05004431868896009,-0.4100131047982627,1.373189964136026,0.4600574234872228,-1.0435800552368164,-1.3631649017333984,0.31958484649658203
7.0,0.8338572604753046,-0.029800952019251592,-0.5239456311889714,1.3578028916642761,0.4941446791697198,-0.9870379567146301,-1.5407458543777466,0.5537078976631165
8.0,0.6447186838230267,-0.7026087506639157,-2.0625592174302954,2.707277901253322,1.3599504667663798,-1.5398027896881104,-2.7875232696533203,1.24772047996521
9.0,0.5032842001556509,-1.811398088623644,0.07843481727610602,0.4248493828795449,-1.88983290589975,-2.6453511714935303,-0.8548811078071594,-1.7904701232910156
10.0,0.8749616640595665,0.10911709297554961,-0.9970633421602066,1.8720250062197732,1.1061804351357563,-0.8752509355545044,-2.3056588172912598,1.4304078817367554
11.0,0.46000834996554507,-0.8140631709273581,-0.06303401839898348,0.5230423683645286,-0.7510291525283747,-1.456081748008728,-1.48814058303833,0.03205883502960205
12.0,0.5925919233211203,-0.21084351815651137,-0.6395642615079518,1.232156184829072,0.4287207433514404,-0.9182119369506836,-1.703352689743042,0.7851407527923584
13.0,0.25792749421496586,-2.7545863950176845,-0.15682287013270946,0.4147503643476753,-2.597763524884975,-3.442873001098633,-1.240165114402771,-2.2027077674865723
14.0,0.7603196113664121,-1.1922651435420453,-0.559811426229355,1.320131037595767,-0.6324537173126903,-2.231525421142578,-1.1938927173614502,-1.037632703781128
15.0,1.012494049399242,0.5805536459233502,-0.3170180703036778,1.3295121197029198,0.897571716227028,-0.49364617466926575,-0.9187556505203247,0.42510947585105896
16.0,0.9964921252871957,-0.3215330723755958,-0.16345493832901004,1.1599470636162057,-0.15807813404658577,-1.5063145160675049,-1.309035062789917,-0.1972794532775879
17.0,0.935901730174427,0.2933406066590205,0.6379255655520824,0.29797616462234466,-0.34458495889306184,-0.7343555688858032,-0.48187410831451416,-0.25248146057128906
18.0,0.6325684590723542,-2.087132061320153,-0.6518277487840309,1.284396207856385,-1.435304312536122,-3.108229160308838,-1.4851365089416504,-1.6230926513671875
19.0,0.8944620364681835,-1.6435529365799373,-1.6818091421612003,2.5762711786293835,0.03825620558126297,-2.9005885124206543,-2.60559344291687,-0.2949950695037842
20.0,0.7167509919356343,-0.6089540003475014,-0.6581901260038371,1.3749411179394713,0.04923612565633573,-1.5150914192199707,-1.493775486946106,-0.021315932273864746
21.0,0.7549628432179684,-0.404411053182243,-0.10005636165801912,0.8550192048759875,-0.3043546915242239,-1.3249987363815308,-0.9335570335388184,-0.3914417028427124
22.0,0.42069536412292474,-2.158181234615209,-0.035976308357347664,0.4566716724802724,-2.1222049262578615,-2.9472875595092773,-0.741218090057373,-2.2060694694519043
23.0,0.7369187971497821,0.3928226815049938,-1.8262338571903536,2.5631526543401355,2.219056538695347,-0.3932527005672455,-2.831892490386963,2.4386398792266846
24.0,0.6855398402000126,-1.6067272276235465,0.05451882760358395,0.6310210125964286,-1.6612460552271304,-2.6197338104248047,-0.7842216491699219,-1.8355121612548828
25.0,0.9679561200475364,-1.0825040708139495,-0.5823171133039409,1.5502732333514773,-0.5001869575100086,-2.3433830738067627,-1.5990926027297974,-0.7442904710769653
26.0,0.7379124851006593,-1.030405478563003,-1.56838552010181,2.3062980052024695,0.537980041538807,-2.020934820175171,-2.6610631942749023,0.6401283740997314
27.0,0.6190849676054839,-1.3805683885443087,-1.0576765918976547,1.6767615595031387,-0.322891796646654,-2.28531813621521,-2.1613552570343018,-0.1239628791809082
28.0,0.4059468152574137,-2.737911836140336,-2.7263279145105983,3.132274729768012,-0.011583921629737759,-3.5929813385009766,-4.069005012512207,0.47602367401123047
29.0,1.2208909306466973,0.5066240232229626,-1.4691817449176188,2.6900726755643163,1.9758057681405814,-0.8163050413131714,-2.4041860103607178,1.5878809690475464
30.0,0.7597083920802246,-0.69474809151578,-0.5607178310952174,1.320426223175442,-0.13403026042056254,-1.662235975265503,-1.5198147296905518,-0.14242124557495117
31.0,0.8897889310264082,-0.16361134682127787,-2.5692852049285513,3.4590741359549595,2.4056738581072734,-1.2038860321044922,-3.388758420944214,2.1848723888397217
32.0,0.624027331665078,-2.201840088877558,-0.4676344888678936,1.0916618205329716,-1.7342056000096644,-3.229562759399414,-1.1443313360214233,-2.085231304168701
33.0,0.7050504668148981,-0.3734439492692424,-3.7631861129452515,4.468236579760149,3.3897421636760092,-1.2325650453567505,-4.579920768737793,3.347355842590332
34.0,0.04485666218850981,-4.842929555660261,-1.0369863932946177,1.0818430554831275,-3.805943162365643,-5.586041450500488,-2.1452393531799316,-3.4408020973205566
