Step,Multi-Reward-Mean,Multi-Reward-Combined,Single-Reward,Mean - Single,Combined - Single
1.0,0.7665617634528004,-0.8574894113364011,-0.8439703343151255,1.6105320977679258,-0.013519077021275638
2.0,0.5548023730936549,-0.30265873631452256,0.143452512612253,0.4113498604814019,-0.44611124892677556
3.0,0.33632407913401363,-2.1986615442175177,-0.6700411583208858,1.0063652374548995,-1.5286203858966319
4.0,0.6643683172645588,-1.3967312989258454,-0.28239676805517,0.9467650853197288,-1.1143345308706754
5.0,0.884935250207648,-1.131465834029611,-0.6837934592707552,1.5687287094784033,-0.4476723747588559
6.0,1.0211023876825964,-0.8459359147974721,-1.06816071932953,2.089263107012126,0.22222480453205784
7.0,0.8113972580445914,-0.37911782847587183,-0.6129172549551116,1.424314512999703,0.2337994264792398
8.0,0.7185132340802277,-0.8924668870875855,-0.39927592636682374,1.1177891604470513,-0.49319096072076174
9.0,0.9966907773370988,-0.18315390546627874,-0.24624920000026118,1.24293997733736,0.06309529453398244
10.0,0.6843065817884901,-1.293291646994391,-0.11517521563327593,0.7994817974217661,-1.178116431361115
11.0,0.7200544662971045,-2.1416903261363514,1.0215166450366615,-0.30146217873955705,-3.163206971173013
12.0,0.7235941282917158,-2.181363880031149,-0.9754967266157519,1.6990908549074677,-1.205867153415397
13.0,0.793008962550259,-1.0093821055283185,-0.5882481116895604,1.3812570742398194,-0.42113399383875816
14.0,0.6011073358574145,-2.02295327491749,-0.6094475519731373,1.2105548878305519,-1.4135057229443526
15.0,0.7929327651264697,-0.8437865182885349,-2.014790450635784,2.8077232157622536,1.171003932347249
16.0,0.6965164232936831,-0.9040066904450623,-0.3897209717761998,1.086237395069883,-0.5142857186688625
17.0,0.924428212670215,-1.5935777283929506,-0.6567364552417747,1.5811646679119897,-0.9368412731511759
18.0,1.363128989414709,-1.1687830824484804,-0.450530510629628,1.813659500044337,-0.7182525718188524
19.0,1.635821222864842,0.054630472279904474,0.07089838494642065,1.5649228379184215,-0.01626791266651617
20.0,1.930362886317499,0.6833371080332027,-0.03649387101708412,1.9668567573345832,0.7198309790502868
21.0,1.773693960054504,0.8640014944357857,-0.7930743081786777,2.566768268233182,1.6570758026144634
22.0,0.9319614024131899,-0.9509592882243576,-1.3903070775045863,2.322268479917776,0.43934778928022866
23.0,0.8283584655010346,-0.21620034870186633,0.15273653263054343,0.6756219328704912,-0.36893688133240976
24.0,-0.041685188617345714,-1.6558019539432347,-1.1687784029780006,1.127093214360655,-0.4870235509652341
25.0,0.37315065627846455,-1.6137070334057924,-0.5012261317573588,0.8743767880358233,-1.1124809016484336
26.0,1.1997396958309658,0.31174373022676116,-0.8419555000826029,2.0416951959135687,1.153699230309364
27.0,0.735806467988525,-2.013084036718126,-0.42855346013273476,1.1643599281212598,-1.5845305765853912
28.0,0.7173535044046118,-0.12223508941430494,0.16662461108884508,0.5507288933157667,-0.28885970050315
29.0,0.6181351125751056,-0.036469586189054715,-0.28669833940692135,0.9048334519820269,0.25022875321786664
30.0,1.0841715077187388,-0.013917396299629514,-2.4870481906524797,3.5712196983712188,2.4731307943528504
31.0,1.2509848814968532,-0.5146029128647829,-1.998956529290733,3.249941410787586,1.48435361642595
32.0,1.440353442188958,0.688180846938345,-3.311344920147171,4.751698362336129,3.999525767085516
33.0,0.8896300522228,0.2651751566917835,-1.4956897363365904,2.38531978855939,1.760864893028374
34.0,0.706844670180748,-1.4801608969799198,-1.4764382176514732,2.1832828878322212,-0.0037226793284466098
35.0,0.9170077170212712,-0.7347179689698247,0.5365181256309693,0.3804895913903018,-1.271236094600794
36.0,0.644943136898736,-3.3126640781388335,-0.8544435159709025,1.4993866528696385,-2.4582205621679307
37.0,1.0216374767344716,-0.15106375913248105,-2.271716516825113,3.2933539935595846,2.120652757692632
38.0,1.0312163313241844,-0.749183023141587,-0.8255781625786516,1.856794493902836,0.07639513943706455
39.0,1.0961813434444414,0.021890335465541533,-2.1876122709928345,3.283793614437276,2.209502606458376
40.0,0.6191332110519614,-0.8395615137834067,-0.881497455390789,1.5006306664427504,0.04193594160738234
41.0,0.1667602537386278,-2.7547155502065857,-0.8100146067889704,0.9767748605275982,-1.9447009434176152
42.0,0.4005830275738681,-3.471026750103936,-2.8051224999144804,3.2057055274883486,-0.6659042501894556
43.0,0.6231337565598632,-0.5584900085911532,-0.5465855621269483,1.1697193186868116,-0.011904446464204854
44.0,0.7453698042751996,0.17446706302662573,-2.2526481884563414,2.998017992731541,2.427115251482967
45.0,0.4291595469171998,-2.6112421410156994,-2.768066063139824,3.197225610057024,0.15682392212412477
46.0,0.6865581803975173,-0.7053877929917663,-1.796178728654422,2.482736909051939,1.0907909356626555
47.0,0.6312282590496848,-0.545221604190438,-0.8462857875655174,1.4775140466152021,0.30106418337507945
48.0,0.26628593425141034,-3.1321801070420214,-1.9520480450665363,2.2183339793179466,-1.1801320619754851
49.0,0.7953241931726722,-0.26748248838255795,-1.8052603642565033,2.6005845574291753,1.5377778758739453
50.0,0.9543250692345779,-0.07642396216665048,-1.9461005934039126,2.9004256626384906,1.8696766312372621
51.0,0.7076784821821334,-2.3136644464228753,-1.362960153889537,2.0706386360716706,-0.9507042925333382
52.0,0.6385994486952856,-1.3513847659598381,-1.4284059276881271,2.067005376383413,0.07702116172828899
53.0,0.6882825654639821,-0.44225774697848075,-1.244651965194675,1.9329345306586572,0.8023942182161943
54.0,0.8881599547455208,-0.9038897815646978,-0.6247837781543231,1.5129437328998439,-0.2791060034103747
55.0,0.24977144913503713,-2.346580514046368,0.42237777327407744,-0.1726063241390403,-2.7689582873204452
56.0,0.16154580075484326,-1.34622036556872,-0.7715144472687643,0.9330602480236075,-0.5747059182999557
57.0,0.7997200012266314,-2.802840346001432,-1.2698289505091194,2.069548951735751,-1.5330113954923128
58.0,0.7690212835168304,-0.9019392392056225,-1.9527358292650514,2.721757112781882,1.050796590059429
59.0,0.8025735158331213,-0.7835893955774895,-1.6697873574904023,2.472360873323524,0.8861979619129128
60.0,0.7298387466151189,-0.04914290665984933,-0.31360285944122124,1.0434416060563403,0.2644599527813719
61.0,0.5823074730377356,-0.1083104875634946,-1.4571690167566602,2.0394764897943958,1.3488585291931656
62.0,0.4148367873993851,-1.2866511543917438,-1.1032426041782837,1.5180793915776687,-0.18340855021346014
63.0,0.9432811294909846,-0.30157734946168024,-0.5511483710441822,1.4944295005351669,0.249571021582502
64.0,0.36190523226919624,-1.6276029197388604,-0.39926648798162256,0.7611717202508188,-1.2283364317572378
65.0,0.2518830963934593,-2.9186131596972413,-1.5431298758872498,1.795012972280709,-1.3754832838099915
66.0,0.4157622050231866,-2.1031745638494765,-1.2250151325015146,1.6407773375247012,-0.8781594313479619
67.0,0.8835107804170269,0.24179533592357016,-1.95302923361721,2.8365400140342367,2.19482456954078
68.0,0.882128429728158,-0.028711318898882565,0.26255091325340474,0.6195775164747532,-0.2912622321522873
69.0,0.8487089120345515,-1.645257954482888,-0.019198335621410934,0.8679072476559624,-1.626059618861477
70.0,0.8264607684980947,-0.8573209870880019,-0.6652161141861805,1.4916768826842752,-0.19210487290182132
71.0,0.23461780494458295,-2.633954175531323,-0.3035707776396772,0.5381885825842602,-2.3303833978916457
72.0,0.5139765864454129,-1.0179152180341153,-1.8375672821431377,2.351543868588551,0.8196520641090224
73.0,0.6742901253475545,0.04324550469952804,-1.6762566913837402,2.3505468167312946,1.7195021960832682
74.0,0.7559828641850874,-1.181131309721506,-1.0452963254462657,1.8012791896313531,-0.1358349842752402
75.0,0.8311774141756927,-0.025925186798338107,-0.9264473208335327,1.7576247350092253,0.9005221340351945
76.0,0.5849907429946787,-1.660760957158372,0.655326347805344,-0.07033560481066536,-2.316087304963716
77.0,0.5857247759702451,-0.27390145070987537,-1.7077268303990143,2.2934516063692594,1.433825379689139
